months_as_customer,age,policy_number,policy_state,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported
180,38,644081,OH,2000,1301.13,0,476685,FEMALE,machine-op-inspct,not-in-family,41300,-55500,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,Springfield,6851 3rd Drive,12,1,0,2,YES,46200,4200,8400,33600,Dodge,Neon,2003,Y
473,58,892874,IN,2000,1131.4,0,458733,FEMALE,transport-moving,other-relative,55700,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Hillsdale,9573 Weaver Ave,12,4,0,0,NO,63120,10520,10520,42080,Accura,MDX,1999,Y
70,26,558938,OH,1000,1199.44,5000000,619884,MALE,machine-op-inspct,own-child,63600,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NY,Riverwood,5074 3rd St,0,3,1,2,YES,52110,5790,5790,40530,Nissan,Maxima,2012,N
140,31,275265,IN,500,708.64,6000000,470610,MALE,machine-op-inspct,unmarried,53500,0,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,Northbend,4546 Tree St,9,1,0,2,YES,77880,14160,7080,56640,Suburu,Legacy,2015,N
160,37,921202,OH,500,1374.22,0,472135,FEMALE,craft-repair,other-relative,45500,-37800,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Northbrook,3842 Solo Ridge,19,1,1,0,NO,72930,6630,13260,53040,Accura,TL,2015,N
196,39,143972,IN,2000,1475.73,0,477670,FEMALE,handlers-cleaners,own-child,57000,-27300,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Columbus,8101 3rd Ridge,8,3,2,0,NO,60400,6040,6040,48320,Nissan,Pathfinder,2014,N
370,55,285496,IL,2000,972.18,0,443920,MALE,prof-specialty,other-relative,72700,-68200,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Hillsdale,2526 Embaracadero Ave,20,3,0,0,YES,71520,17880,5960,47680,Suburu,Forrestor,2000,Y
237,40,736882,IN,1000,883.31,0,434733,MALE,craft-repair,husband,0,-53500,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,Riverwood,2502 Apache Hwy,6,1,1,3,NO,77880,7080,14160,56640,Ford,Escape,2005,N
8,35,699044,OH,2000,1266.92,0,613982,MALE,sales,own-child,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,Arlington,3418 Texas Lane,16,3,1,3,YES,71500,16500,11000,44000,Ford,Escape,2006,Y
257,43,863236,IN,2000,1322.1,0,436984,MALE,prof-specialty,own-child,0,-29200,Parked Car,?,Minor Damage,Police,PA,Arlington,2533 Elm St,4,1,1,3,YES,9020,1640,820,6560,Toyota,Camry,2005,N
224,40,914088,OH,2000,1291.7,0,609837,FEMALE,sales,not-in-family,0,-55600,Single Vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,3220 Rock Drive,21,1,1,0,YES,69840,7760,15520,46560,Dodge,Neon,2009,N
241,45,596785,IL,2000,1104.5,0,432211,FEMALE,machine-op-inspct,unmarried,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbrook,2100 Francis Drive,5,1,2,2,NO,91650,14100,14100,63450,Accura,TL,2011,N
155,35,336614,IL,1000,1088.34,0,614780,FEMALE,adm-clerical,other-relative,81100,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,Arlington,6092 5th Ave,16,3,2,3,NO,29790,3310,3310,23170,BMW,3 Series,2008,N
149,37,990493,IL,500,1415.68,0,603381,MALE,prof-specialty,own-child,0,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,WV,Hillsdale,3540 Maple St,17,1,0,1,YES,64800,10800,5400,48600,Audi,A3,1999,N
147,33,129872,OH,1000,1334.15,6000000,479224,MALE,craft-repair,not-in-family,53300,-49200,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,3104 Sky Drive,15,1,2,0,YES,53100,10620,5310,37170,Mercedes,C300,1995,Y
62,28,200152,IL,1000,988.45,0,430141,FEMALE,protective-serv,unmarried,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbrook,4981 Weaver St,3,1,1,1,YES,60200,6020,6020,48160,Suburu,Forrestor,2004,Y
289,49,933293,IL,2000,1222.48,0,620757,FEMALE,priv-house-serv,unmarried,0,0,Parked Car,?,Minor Damage,None,WV,Arlington,6676 Tree Lane,16,1,1,1,YES,5330,1230,820,3280,Suburu,Legacy,2001,N
199,37,982871,IN,500,1262.08,0,474615,MALE,tech-support,wife,48500,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Columbus,3422 Flute St,4,1,0,3,NO,60170,10940,10940,38290,Nissan,Pathfinder,2011,Y
37,23,448961,IL,500,1475.93,0,441648,FEMALE,prof-specialty,husband,0,-67400,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Springfield,3221 Solo Ridge,17,3,1,0,NO,51660,5740,5740,40180,Dodge,RAM,2010,N
106,30,790442,OH,500,538.17,0,433782,FEMALE,transport-moving,own-child,49700,-60200,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Arlington,6660 MLK Drive,23,1,2,2,NO,51120,5680,5680,39760,Mercedes,E400,2005,N
355,47,939631,OH,2000,1273.7,4000000,433473,MALE,other-service,husband,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Arlington,8907 Tree Ave,19,3,2,1,NO,62800,6280,6280,50240,Audi,A3,2003,Y
175,34,866931,IN,1000,1123.87,8000000,446326,FEMALE,protective-serv,other-relative,0,0,Vehicle Theft,?,Trivial Damage,Police,NY,Arlington,6619 Flute Ave,5,1,2,0,YES,7290,810,810,5670,Volkswagen,Passat,1995,N
430,59,691189,OH,2000,1326.62,7000000,477310,MALE,other-service,own-child,0,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Riverwood,5104 Francis Drive,19,3,0,3,YES,81800,16360,8180,57260,Nissan,Pathfinder,1998,N
217,39,394975,IN,1000,1530.52,0,603993,MALE,armed-forces,not-in-family,0,0,Vehicle Theft,?,Minor Damage,None,WV,Northbend,2644 Elm Drive,8,1,2,1,YES,4300,430,430,3440,Toyota,Corolla,2000,N
195,39,282195,OH,1000,1393.57,0,478423,MALE,machine-op-inspct,not-in-family,47600,-39600,Parked Car,?,Minor Damage,Police,VA,Northbend,5821 2nd St,5,1,0,1,YES,2640,480,480,1680,Ford,F150,2009,N
22,26,420810,OH,1000,1276.57,0,467784,MALE,craft-repair,not-in-family,71500,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Arlington,6723 Best Drive,3,1,1,2,NO,78900,15780,7890,55230,Chevrolet,Silverado,1995,N
94,32,307195,IN,1000,1414.74,0,464691,FEMALE,adm-clerical,own-child,0,0,Parked Car,?,Minor Damage,None,VA,Riverwood,5418 Britain Ave,19,1,1,3,NO,2400,300,300,1800,Chevrolet,Silverado,2014,N
11,39,623648,IL,2000,1470.06,0,431683,MALE,other-service,husband,56600,-45800,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Riverwood,4296 Pine Hwy,22,1,0,1,NO,65790,7310,7310,51170,Saab,93,2007,N
151,36,485372,OH,2000,870.63,0,431725,FEMALE,adm-clerical,own-child,94800,-58500,Multi-vehicle Collision,Side Collision,Minor Damage,Police,VA,Hillsdale,2299 1st St,12,3,1,1,NO,62920,11440,5720,45760,Ford,Escape,2000,N
245,44,303987,IL,1000,1168.2,0,452787,MALE,handlers-cleaners,husband,69100,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,OH,Springfield,7459 Flute St,23,3,0,3,NO,44280,7380,3690,33210,Honda,Accord,1997,N
119,32,343161,IL,1000,993.51,0,468767,MALE,armed-forces,unmarried,0,-49500,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Hillsdale,3567 4th Drive,12,1,0,3,YES,56300,5630,11260,39410,BMW,M5,2011,N
215,42,519312,OH,500,1848.81,0,435489,MALE,transport-moving,own-child,0,-49000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Northbend,2457 Washington Ave,20,3,2,2,YES,68520,11420,5710,51390,Suburu,Legacy,2003,Y
295,42,132902,OH,2000,1641.73,5000000,450149,MALE,sales,not-in-family,62400,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,VA,Riverwood,1269 Flute Drive,16,3,0,0,NO,59130,6570,6570,45990,Ford,Escape,2006,Y
254,39,332867,IN,500,1362.87,0,458364,FEMALE,exec-managerial,other-relative,35700,0,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Arlington,1218 Sky Hwy,6,3,2,2,NO,82320,13720,6860,61740,Dodge,Neon,1995,Y
107,31,356590,IN,500,1239.22,7000000,476458,FEMALE,tech-support,not-in-family,43400,-91200,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,Springfield,9169 Pine Ridge,12,1,0,1,NO,89700,13800,13800,62100,Audi,A5,2009,Y
478,64,346002,OH,500,835.02,0,602433,FEMALE,adm-clerical,unmarried,59600,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,WV,Hillsdale,8538 Texas Lane,17,3,1,1,NO,33930,0,3770,30160,BMW,X6,1998,N
128,30,500533,OH,1000,1061.33,0,478575,MALE,machine-op-inspct,own-child,43300,-66200,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Northbrook,5783 Oak Ave,8,1,0,3,NO,68530,12460,6230,49840,Audi,A5,1997,N
222,41,260845,OH,2000,1055.53,0,441992,FEMALE,armed-forces,not-in-family,37800,-50300,Single Vehicle Collision,Front Collision,Total Loss,Other,WV,Northbrook,6751 Pine Ridge,7,1,0,2,NO,61290,6810,6810,47670,Honda,Civic,1995,Y
199,41,657045,OH,1000,895.83,0,452597,FEMALE,sales,husband,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Arlington,2324 Texas Ridge,10,1,1,2,NO,30100,3010,0,27090,Chevrolet,Malibu,1999,N
215,37,761189,IN,500,1632.93,0,614417,FEMALE,transport-moving,not-in-family,0,-42900,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Riverwood,7923 Elm Ave,7,3,2,0,YES,57120,9520,4760,42840,Mercedes,C300,2002,N
192,40,175177,IL,1000,1405.99,0,472895,FEMALE,sales,wife,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,VA,Springfield,4755 Best Lane,18,3,1,0,YES,42930,9540,4770,28620,BMW,X6,2005,N
120,35,116700,OH,1000,1425.54,0,475847,FEMALE,transport-moving,other-relative,78300,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Riverwood,5053 Tree Drive,22,3,2,0,NO,51210,11380,5690,34140,Ford,Fusion,2010,N
270,45,166264,OH,1000,1038.09,0,476978,FEMALE,handlers-cleaners,husband,0,-19700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Springfield,2078 3rd Ave,18,3,1,1,YES,89400,14900,7450,67050,Suburu,Legacy,1998,N
194,39,627540,OH,1000,1489.24,6000000,608335,FEMALE,other-service,wife,0,-45000,Vehicle Theft,?,Minor Damage,None,SC,Springfield,7877 Sky Lane,15,1,2,2,YES,8060,1240,1240,5580,Saab,95,2004,N
137,31,484200,OH,2000,1340.43,0,441175,MALE,exec-managerial,husband,52700,-40600,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,Arlington,3087 Oak Hwy,6,3,1,2,NO,50800,10160,10160,30480,Accura,MDX,2005,N
78,29,694662,IL,1000,1234.2,6000000,457767,MALE,other-service,other-relative,0,0,Vehicle Theft,?,Minor Damage,Police,NY,Northbrook,5124 Maple St,3,1,2,2,NO,7500,750,1500,5250,Nissan,Maxima,2002,N
200,35,960680,IN,2000,1318.06,0,618498,MALE,exec-managerial,wife,57300,-80600,Vehicle Theft,?,Trivial Damage,None,VA,Hillsdale,2333 Maple Lane,13,1,0,3,YES,6490,1180,1180,4130,Volkswagen,Jetta,2002,N
284,48,498140,IN,2000,769.95,0,605486,MALE,prof-specialty,not-in-family,0,-44200,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,1012 5th Lane,16,2,2,3,NO,60940,5540,11080,44320,Audi,A3,2013,Y
134,32,614763,IL,500,1612.43,0,456762,FEMALE,other-service,own-child,36400,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,VA,Springfield,2087 Apache Ave,2,1,2,1,YES,64240,11680,11680,40880,BMW,3 Series,2015,N
31,36,679370,IL,2000,1318.24,9000000,601748,FEMALE,prof-specialty,not-in-family,0,-78600,Parked Car,?,Trivial Damage,None,WV,Arlington,5540 Sky St,9,1,0,1,YES,4700,940,470,3290,Dodge,Neon,2002,N
207,42,918629,IL,2000,1322.78,0,453277,MALE,farming-fishing,own-child,55200,0,Parked Car,?,Trivial Damage,None,WV,Springfield,5260 Francis Drive,9,1,0,1,NO,5900,590,590,4720,BMW,X5,2007,N
271,42,307447,IL,500,1515.3,0,603248,FEMALE,machine-op-inspct,not-in-family,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,9737 Solo Hwy,21,3,1,0,NO,93720,17040,8520,68160,Mercedes,ML350,2005,N
80,25,992145,IL,2000,1075.18,5000000,601112,FEMALE,armed-forces,husband,67700,-58400,Vehicle Theft,?,Minor Damage,None,OH,Northbrook,3289 Britain Drive,5,1,2,0,YES,6930,1260,630,5040,Toyota,Highlander,2001,N
325,47,900628,IN,1000,1690.27,0,438830,FEMALE,protective-serv,not-in-family,61500,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,VA,Springfield,6550 Andromedia St,11,1,0,3,NO,72930,6630,6630,59670,Dodge,RAM,2006,Y
29,25,235220,IL,2000,1352.83,0,464959,MALE,farming-fishing,own-child,0,-71700,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,SC,Hillsdale,1679 2nd Hwy,4,4,1,2,YES,64890,7210,7210,50470,Nissan,Pathfinder,2013,Y
295,48,740019,OH,1000,1148.73,0,439787,FEMALE,machine-op-inspct,wife,0,0,Parked Car,?,Trivial Damage,None,WV,Columbus,3998 Flute St,6,1,1,2,YES,5400,900,900,3600,Saab,95,1999,N
80,27,193442,IL,1000,1474.17,0,440327,FEMALE,tech-support,unmarried,0,0,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbend,7773 Tree Hwy,13,1,1,0,YES,52800,10560,5280,36960,Saab,95,2004,N
279,41,389238,IL,500,1497.35,0,460742,FEMALE,prof-specialty,husband,37300,-31700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NC,Northbrook,2199 Texas Drive,16,3,2,3,NO,28800,0,3600,25200,Ford,Fusion,2013,N
165,33,760179,OH,1000,1427.14,0,446895,FEMALE,tech-support,other-relative,35300,-58100,Parked Car,?,Minor Damage,Police,WV,Northbend,1028 Sky Lane,3,1,1,1,NO,2970,330,330,2310,Toyota,Highlander,2008,N
295,49,872814,IL,500,1141.62,0,451672,MALE,prof-specialty,husband,34300,-24300,Vehicle Theft,?,Minor Damage,None,WV,Columbus,8085 Andromedia St,4,1,1,3,YES,4320,480,480,3360,Mercedes,E400,2002,N
464,61,632627,OH,1000,1125.37,0,604450,FEMALE,prof-specialty,husband,0,-56400,Multi-vehicle Collision,Rear Collision,Major Damage,Police,VA,Northbend,4793 4th Ridge,6,3,0,2,YES,79800,6650,19950,53200,Saab,95,2000,Y
87,31,853360,IN,1000,1074.07,0,451312,FEMALE,sales,husband,0,-47500,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NY,Springfield,3052 Weaver Ridge,16,3,0,3,YES,60940,5540,11080,44320,Nissan,Ultima,2006,Y
261,42,776860,OH,500,1337.56,0,605141,FEMALE,prof-specialty,unmarried,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Riverwood,5211 Weaver Drive,18,1,1,2,YES,74700,7470,14940,52290,Dodge,RAM,2010,N
210,41,395269,IL,500,1222.75,0,432781,MALE,exec-managerial,other-relative,0,-41000,Multi-vehicle Collision,Rear Collision,Total Loss,Other,WV,Columbus,1454 5th Ridge,12,3,2,0,NO,81070,14740,14740,51590,BMW,X5,2001,N
390,51,143626,OH,2000,1124.38,0,618316,MALE,armed-forces,other-relative,0,0,Vehicle Theft,?,Minor Damage,None,VA,Northbrook,4574 Britain Hwy,9,1,1,1,YES,7080,1180,1180,4720,Ford,F150,2001,N
107,31,154982,IL,2000,1374.22,0,470603,FEMALE,machine-op-inspct,other-relative,62000,-63100,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Hillsdale,8118 Elm Ridge,16,1,0,3,NO,51260,9320,9320,32620,Suburu,Legacy,2002,N
225,41,330591,OH,2000,1103.58,0,475292,MALE,exec-managerial,unmarried,41200,-36200,Multi-vehicle Collision,Side Collision,Major Damage,Police,NY,Northbend,3814 Britain Drive,20,3,2,2,NO,70400,6400,12800,51200,Toyota,Highlander,2011,Y
164,38,319232,IL,2000,1269.76,0,467743,FEMALE,transport-moving,not-in-family,44300,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Hillsdale,4614 MLK Ave,4,1,1,3,YES,90000,18000,9000,63000,Ford,Fusion,2015,N
206,36,253791,IL,500,1625.45,4000000,607452,FEMALE,other-service,other-relative,0,-53700,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Northbrook,2100 MLK St,11,1,2,1,NO,76560,12760,12760,51040,Ford,Fusion,2008,Y
203,38,155724,IL,500,1394.43,0,606352,FEMALE,other-service,not-in-family,0,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,VA,Columbus,5071 Flute Ridge,7,1,0,1,YES,55440,0,6160,49280,Nissan,Maxima,1999,Y
22,25,824540,OH,2000,1053.24,0,603527,FEMALE,prof-specialty,other-relative,51100,0,Multi-vehicle Collision,Front Collision,Total Loss,Other,NC,Arlington,7551 Britain Lane,0,4,1,0,NO,77130,8570,17140,51420,Accura,MDX,1995,N
206,39,965768,IN,1000,1302.4,6000000,603948,MALE,craft-repair,unmarried,47200,-69700,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,Hillsdale,1598 3rd Drive,12,3,2,3,YES,36300,3300,9900,23100,Ford,Escape,2013,N
274,43,517240,OH,2000,1352.31,0,465263,MALE,farming-fishing,wife,40700,-47300,Single Vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbend,8983 Francis Ridge,22,1,0,3,YES,63840,10640,10640,42560,BMW,X5,2006,Y
280,45,718428,IN,1000,1397.67,0,607889,MALE,machine-op-inspct,wife,57900,0,Multi-vehicle Collision,Front Collision,Minor Damage,Other,NY,Arlington,9034 Weaver Ridge,0,3,1,2,NO,84720,14120,14120,56480,Ford,Escape,1999,N
194,39,620215,IN,500,823.17,0,455689,MALE,adm-clerical,own-child,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Other,WV,Columbus,1126 Texas Hwy,3,3,2,2,NO,61500,6150,12300,43050,Dodge,RAM,2012,N
24,33,649082,IL,1000,1922.84,0,431277,FEMALE,machine-op-inspct,wife,0,-45200,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,Northbend,5061 Francis Ave,0,1,2,1,NO,46800,4680,9360,32760,Jeep,Wrangler,2002,N
200,40,932502,IL,1000,1439.34,0,444822,FEMALE,sales,other-relative,45300,-20400,Vehicle Theft,?,Minor Damage,Police,VA,Riverwood,2577 Washington Drive,9,1,0,0,NO,3690,410,410,2870,Ford,Escape,2015,N
325,46,935277,IL,500,1348.83,0,474360,FEMALE,prof-specialty,wife,46300,-77500,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,NC,Springfield,9358 Texas Ridge,21,3,1,2,YES,76120,13840,6920,55360,Toyota,Camry,1999,N
124,32,756054,IL,1000,1198.15,0,447925,FEMALE,other-service,not-in-family,0,-43200,Multi-vehicle Collision,Front Collision,Total Loss,Other,VA,Springfield,8080 Oak Lane,19,3,0,2,YES,73560,12260,12260,49040,BMW,X5,1995,N
122,34,139872,IN,1000,1220.71,0,603639,MALE,machine-op-inspct,own-child,58600,-28700,Parked Car,?,Minor Damage,None,SC,Northbend,9101 2nd Hwy,5,1,2,1,YES,8190,1890,1260,5040,Chevrolet,Silverado,2013,N
106,31,165485,IL,2000,1320.75,0,441491,FEMALE,farming-fishing,wife,54100,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,WV,Springfield,6315 2nd Lane,20,3,0,3,YES,45630,5070,5070,35490,Accura,MDX,2011,N
214,41,795686,IL,500,1398.51,4000000,472214,MALE,tech-support,not-in-family,0,-57100,Multi-vehicle Collision,Side Collision,Major Damage,Fire,NC,Northbend,4672 MLK St,13,3,2,0,NO,64000,12800,6400,44800,BMW,X6,1996,Y
193,41,217938,OH,500,847.03,0,438555,FEMALE,craft-repair,not-in-family,0,0,Single Vehicle Collision,Side Collision,Major Damage,Other,SC,Springfield,5431 3rd Ridge,1,1,1,0,YES,112320,17280,17280,77760,Suburu,Impreza,2011,Y
104,32,904191,IN,500,1158.03,0,434247,MALE,exec-managerial,own-child,31900,-44600,Multi-vehicle Collision,Rear Collision,Total Loss,Police,NY,Riverwood,7582 Pine Drive,23,3,1,3,YES,63570,9780,9780,44010,Volkswagen,Jetta,2006,Y
375,50,120485,OH,1000,1275.39,0,466283,MALE,sales,other-relative,0,0,Single Vehicle Collision,Front Collision,Major Damage,Police,NY,Riverwood,8150 Washington Ridge,16,1,2,3,NO,37280,0,0,37280,Audi,A5,1996,Y
461,61,781181,OH,2000,1402.75,0,449557,MALE,exec-managerial,husband,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,4268 2nd Ave,10,3,2,1,YES,72100,7210,14420,50470,Jeep,Wrangler,2006,N
428,59,299796,IN,500,1344.36,7000000,473329,FEMALE,prof-specialty,other-relative,0,0,Parked Car,?,Minor Damage,None,WV,Northbend,6375 2nd Lane,8,1,2,3,NO,6500,1300,650,4550,Saab,92x,2013,N
295,48,678849,OH,1000,1332.07,0,609409,FEMALE,exec-managerial,unmarried,49700,-59100,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,NY,Hillsdale,1815 Cherokee Drive,20,2,2,1,YES,86060,13240,13240,59580,Volkswagen,Passat,2002,N
112,30,346940,OH,1000,1166.54,0,479852,FEMALE,prof-specialty,not-in-family,47700,-59300,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Arlington,9316 Pine Ave,3,1,2,0,NO,107900,10790,21580,75530,Dodge,Neon,1997,Y
122,34,985436,IL,500,1495.06,0,452249,FEMALE,prof-specialty,unmarried,38100,-31400,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,PA,Columbus,2733 Texas Drive,18,3,2,0,YES,99990,18180,18180,63630,Mercedes,E400,2011,N
108,29,237418,IN,1000,1337.92,0,441536,FEMALE,armed-forces,not-in-family,71400,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,WV,Columbus,7684 Francis Ridge,4,3,2,2,YES,61380,11160,5580,44640,Suburu,Legacy,2012,N
14,28,335780,OH,2000,1587.96,0,601617,FEMALE,craft-repair,unmarried,0,-26900,Single Vehicle Collision,Rear Collision,Major Damage,Fire,WV,Riverwood,8991 Embaracadero Ave,18,1,2,1,YES,71280,12960,12960,45360,Audi,A5,2012,Y
298,45,491392,IL,1000,1362.29,0,442598,MALE,farming-fishing,unmarried,0,-51100,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Northbend,4905 Francis Ave,18,3,0,0,NO,64000,12800,6400,44800,Saab,95,1999,N
276,46,140880,IL,500,1448.84,0,430987,FEMALE,machine-op-inspct,husband,0,-50000,Parked Car,?,Trivial Damage,Police,SC,Hillsdale,7783 Lincoln Hwy,7,1,0,1,NO,5940,660,660,4620,Toyota,Highlander,2015,N
47,37,962591,IN,2000,1241.97,0,430104,MALE,other-service,not-in-family,75400,0,Parked Car,?,Minor Damage,None,NY,Hillsdale,8749 Tree St,18,1,1,0,NO,6700,670,670,5360,Jeep,Wrangler,2011,N
119,28,288580,OH,2000,1079.92,0,430886,MALE,machine-op-inspct,husband,88800,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,PA,Riverwood,7534 MLK Hwy,1,1,0,1,YES,53600,6700,6700,40200,Volkswagen,Jetta,2007,Y
8,31,425973,IN,500,1229.16,4000000,604804,FEMALE,transport-moving,wife,0,-88300,Multi-vehicle Collision,Front Collision,Major Damage,Fire,PA,Hillsdale,9153 3rd Hwy,2,3,0,2,YES,48100,11100,7400,29600,Volkswagen,Jetta,2014,N
